disaster_id,disaster_location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd,even_split_dam_usd
1984-185,1984-185_1717513,1717513,1,Cebu,10.33333,123.75,ISL,6295630|6255147|PH|07|1717511|1717513,Earth|Asia|Philippines|Central Visayas|Province of Cebu|Cebu,4,1,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16,90562482.1657
1984-185,1984-185_1724399,1724399,1,Bohol,9.83333,124.16667,ISL,6295630|6255147|PH|07|1724395|1724399,Earth|Asia|Philippines|Central Visayas|Province of Bohol|Bohol,4,1,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16,90562482.1657
1984-185,1984-185_1697808,1697808,3,Province of Negros Occidental,10.41667,123,ADM2,6295630|6255147|PH|06|1697808,Earth|Asia|Philippines|Western Visayas|Province of Negros Occidental,1,1,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16,90562482.1657
1984-185,1984-185_1717511,1717511,3,Province of Cebu,9.33333,123.66667,ADM2,6295630|6255147|PH|07|1717511,Earth|Asia|Philippines|Central Visayas|Province of Cebu,1,1,1984,Ike (Nitang) and Maring,"Surigao del Norte, Bohol Isl, Mindanao, Negros Occidental, Cebu provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-9-1,1984-9-1 ,1399,2565,1237224,547076,1786865,633937375.16,90562482.1657
1984-105,1984-105_1713986,1713986,3,Eastern Samar,11.53054,125.47647,ADM2,6295630|6255147|PH|08|1713986,Earth|Asia|Philippines|Eastern Visayas|Eastern Samar,1,1,1984,Agnes (Undang),"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-11-3,1984-11-3 ,1079,197,1495738,765965,2261900,282595064.33,40370723.4757
1984-105,1984-105_1706800,1706800,3,Province of Leyte,10.91667,124.66667,ADM2,6295630|6255147|PH|08|1706800,Earth|Asia|Philippines|Eastern Visayas|Province of Leyte,1,1,1984,Agnes (Undang),"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-11-3,1984-11-3 ,1079,197,1495738,765965,2261900,282595064.33,40370723.4757
1984-105,1984-105_1684711,1684711,3,Tacloban City,11.25,125,ADM2,6295630|6255147|PH|08|1684711,Earth|Asia|Philippines|Eastern Visayas|Tacloban City,1,1,1984,Agnes (Undang),"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-11-3,1984-11-3 ,1079,197,1495738,765965,2261900,282595064.33,40370723.4757
1984-105,1984-105_1718641,1718641,3,Province of Capiz,11.4,122.56667,ADM2,6295630|6255147|PH|06|1718641,Earth|Asia|Philippines|Western Visayas|Province of Capiz,1,1,1984,Agnes (Undang),"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-11-3,1984-11-3 ,1079,197,1495738,765965,2261900,282595064.33,40370723.4757
1984-105,1984-105_1711005,1711005,1,Iloilo City,10.69694,122.56444,PPLA,6295630|6255147|PH|06|1711004|1711005,Earth|Asia|Philippines|Western Visayas|Province of Iloilo|Iloilo City,2,1,1984,Agnes (Undang),"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-11-3,1984-11-3 ,1079,197,1495738,765965,2261900,282595064.33,40370723.4757
1984-105,1984-105_1730491,1730491,3,Province of Antique,11.16667,122.08333,ADM2,6295630|6255147|PH|06|1730491,Earth|Asia|Philippines|Western Visayas|Province of Antique,1,1,1984,Agnes (Undang),"Capiz, Ilailo, Aklau, Antique, Leyte, Eastern Samar, Roxas, Tacloban",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-11-3,1984-11-3 ,1079,197,1495738,765965,2261900,282595064.33,40370723.4757
1984-83,1984-83_1719937,1719937,1,Camalig,13.15,123.6,ADM3,6295630|6255147|PH|05|1731616|1719937,Earth|Asia|Philippines|Bicol|Province of Albay|Camalig,1,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-83,1984-83_1702764,1702764,1,Malilipot,13.3,123.71667,ADM3,6295630|6255147|PH|05|1731616|1702764,Earth|Asia|Philippines|Bicol|Province of Albay|Malilipot,1,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-83,1984-83_1712332,1712332,1,Guinobatan,13.16667,123.56667,ADM3,6295630|6255147|PH|05|1731616|1712332,Earth|Asia|Philippines|Bicol|Province of Albay|Guinobatan,1,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-83,1984-83_1685118,1685118,1,City of Tabaco,13.33333,123.71667,ADM3,6295630|6255147|PH|05|1731616|1685118,Earth|Asia|Philippines|Bicol|Province of Albay|City of Tabaco,1,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-83,1984-83_1706884,1706884,3,Legaspi City,13.13333,123.73333,ADM2,6295630|6255147|PH|05|1706884,Earth|Asia|Philippines|Bicol|Legaspi City,1,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-83,1984-83_1687749,1687749,1,Santo Domingo,13.26667,123.75,ADM3,6295630|6255147|PH|05|1731616|1687749,Earth|Asia|Philippines|Bicol|Province of Albay|Santo Domingo,1,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-83,1984-83_1706474,1706474,1,Ligao,13.21697,123.51924,PPLA3,6295630|6255147|PH|05|1731616|1706476|1706474,Earth|Asia|Philippines|Bicol|Province of Albay|City of Ligao|Ligao,2,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-83,1984-83_1715509,1715509,1,Municipality of Daraga,13.13333,123.68333,ADM3,6295630|6255147|PH|05|1731616|1715509,Earth|Asia|Philippines|Bicol|Province of Albay|Municipality of Daraga,1,1,1984,Mayon,"Daraga, Legaspi, Guinobatan, Camalig, Ligao, Tabaco, Sto. Domingo, Malipilot municipalities (Albay province)",Natural,Geophysical,Volcano,Volcanic eruption,,,,Philippines,PHL,1984-9-10,1984-9-10 ,0,0,70000,0,70000,0,0
1984-73,1984-73_7521300,7521300,4,Cordillera,17.0852,121.03322,ADM1,6295630|6255147|PH|15,Earth|Asia|Philippines|Cordillera,1,1,1984,June (Maring),"Northern Luzon, Pangasinan province",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-8-27,1984-8-27 ,138,103,475899,7745,483747,67284539.13,16821134.7825
1984-73,1984-73_1695357,1695357,3,Province of Pangasinan,15.91667,120.33333,ADM2,6295630|6255147|PH|01|1695357,Earth|Asia|Philippines|Ilocos|Province of Pangasinan,1,1,1984,June (Maring),"Northern Luzon, Pangasinan province",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-8-27,1984-8-27 ,138,103,475899,7745,483747,67284539.13,16821134.7825
1984-73,1984-73_7521297,7521297,4,Cagayan Valley,17.65667,121.73333,ADM1,6295630|6255147|PH|02,Earth|Asia|Philippines|Cagayan Valley,1,1,1984,June (Maring),"Northern Luzon, Pangasinan province",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1984-8-27,1984-8-27 ,138,103,475899,7745,483747,67284539.13,16821134.7825
