disaster_id,location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
1985-342,1985-342_1683089,1683089,1,City of Tanjay,9.53333,123.05,ADM3,6295630|6255147|PH|07|1697806|1683089,Earth|Asia|Philippines|Central Visayas|Province of Negros Oriental|City of Tanjay,1,1
1985-342,1985-342_1695838,1695838,1,Pamplona,9.2,123.06667,ADM3,6295630|6255147|PH|07|1697806|1695838,Earth|Asia|Philippines|Central Visayas|Province of Negros Oriental|Pamplona,1,1
1985-192,1985-192_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1985-190,1985-190_1697473,1697473,3,Province of Nueva Ecija,15.58333,121,ADM2,6295630|6255147|PH|03|1697473,Earth|Asia|Philippines|Central Luzon|Province of Nueva Ecija,1,1
1985-190,1985-190_1711032,1711032,3,Province of Ilocos Sur,17.33333,120.58333,ADM2,6295630|6255147|PH|01|1711032,Earth|Asia|Philippines|Ilocos|Province of Ilocos Sur,1,1
1985-190,1985-190_1679983,1679983,1,City of Vigan,17.56275,120.39071,ADM3,6295630|6255147|PH|01|1711032|1679983,Earth|Asia|Philippines|Ilocos|Province of Ilocos Sur|City of Vigan,1,1
1985-190,1985-190_1690112,1690112,1,San Esteban,17.33333,120.46667,ADM3,6295630|6255147|PH|01|1711032|1690112,Earth|Asia|Philippines|Ilocos|Province of Ilocos Sur|San Esteban,1,1
1985-190,1985-190_1726347,1726347,3,Province of Bataan,14.66667,120.41667,ADM2,6295630|6255147|PH|03|1726347,Earth|Asia|Philippines|Central Luzon|Province of Bataan,1,1
1985-190,1985-190_1725582,1725582,3,Province of Benguet,16.5,120.66667,ADM2,6295630|6255147|PH|15|1725582,Earth|Asia|Philippines|Cordillera|Province of Benguet,1,1
1985-190,1985-190_1707403,1707403,3,Laoag City,18.2,120.6,ADM2,6295630|6255147|PH|01|1707403,Earth|Asia|Philippines|Ilocos|Laoag City,1,1
1985-190,1985-190_1695848,1695848,3,Province of Pampanga,15.06667,120.66667,ADM2,6295630|6255147|PH|03|1695848,Earth|Asia|Philippines|Central Luzon|Province of Pampanga,1,1
1985-190,1985-190_1704846,1704846,2,Luzon,16,121,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Luzon,4,2
1985-190,1985-190_1679435,1679435,3,Province of Zambales,15.33333,120.16667,ADM2,6295630|6255147|PH|03|1679435,Earth|Asia|Philippines|Central Luzon|Province of Zambales,1,1
1985-190,1985-190_1727057,1727057,1,Bantay,17.59682,120.44996,ADM3,6295630|6255147|PH|01|1711032|1727057,Earth|Asia|Philippines|Ilocos|Province of Ilocos Sur|Bantay,1,1
1985-190,1985-190_1728929,1728929,3,Baguio City,16.41667,120.6,ADM2,6295630|6255147|PH|15|1728929,Earth|Asia|Philippines|Cordillera|Baguio City,1,1
1985-190,1985-190_1711034,1711034,3,Province of Ilocos Norte,18.16667,120.75,ADM2,6295630|6255147|PH|01|1711034,Earth|Asia|Philippines|Ilocos|Province of Ilocos Norte,1,1
1985-171,1985-171_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1
1985-125,1985-125_1699597,1699597,1,Mindanao,8,125,ISL,6295630|6255147|PH|00,Earth|Asia|Philippines|Mindanao,4,1
1985-124,1985-124_1697473,1697473,3,Province of Nueva Ecija,15.58333,121,ADM2,6295630|6255147|PH|03|1697473,Earth|Asia|Philippines|Central Luzon|Province of Nueva Ecija,1,1
