disaster_id,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd
1988-557,1988,Tess (Welpring),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1988-11-1,1988-11-1 ,41,1,28826,86,28913,2433549.07
1988-506,1988,Skip (Yoning),"Manilla, Tagalog, Bicol, western Visayas",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1988-11-5,1988-11-5 ,289,29,1000000,45000,1045029,385898748.58
1988-480,1988,Ruby (Unsang),"Tarlac, Southern Tagalog, Metro Manila, Albay, Cebu, Cagayan de Oro provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1988-10-21,1988-10-21 ,416,208,3250000,0,3250208,622626117.22
1988-477,1988,,Mindanao/Misamis Oriental,Natural,Meteorological,Storm,Local storm,Tornado,,,Philippines,PHL,1988-10-21,1988-10-21 ,0,0,20000,0,20000,0
1988-312,1988,Warren (Huaning),Northern Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1988-7-16,1988-7-16 ,6,0,96120,21235,117355,29813564.93
1988-231,1988,Susan (Biring),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1988-5-30,1988-5-30 ,36,0,56000,0,56000,2588881.98
1989-584,1989,,,Natural,Hydrological,Mass movement wet,Landslide,,,,Philippines,PHL,,,72,0,0,0,0,0
1989-272,1989,,Metro Manila,Natural,Hydrological,Flood,General flood,,,,Philippines,PHL,,,0,0,47500,0,47500,0
1989-193,1989,,Muntinlupa,Natural,Hydrological,Mass movement wet,Landslide,,,,Philippines,PHL,1989-9-16,1989-9-16 ,14,10,67,0,77,0
1989-187,1989,Breda (Bining),,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1989-5-15,1989-5-15 ,13,3,12282,652,12937,6997461.4
1989-154,1989,,Mindanao/Monkayo,Natural,Hydrological,Mass movement wet,Landslide,,,,Philippines,PHL,,,13,200,1000,0,1200,0
1989-132,1989,Hunt (Unsing),"Battan, Bulacan, Pampanga, North Metro Manila, Calauag Popillio Isl., northern Samar, Neava Ecija, Quezon, Rizal, Tarlac provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1989-11-22,1989-11-22 ,11,1,12837,212,13050,795166.07
1989-129,1989,Sarah (Openg),"Benguet, Ilocos Norte, Ilocos Sur, Kalinga Apayao, La Union, Zambales",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1989-9-7,1989-9-7 ,22,21,140000,0,140021,10520658.74
1989-127,1989,Angela (Rubing),"Cagayan, Ilocos Norte, Kalinga-Apayao, Nueva Viscayas provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1989-10-2,1989-10-2 ,147,191,205000,84000,289191,19573318.59
1989-126,1989,Elsie (Tasing),"Bataan, Benguet, Ifugao, Isabela, Kalinga-Apayao, La Union, Nueva Vizcaya, Pangasinan, Cagayan, Ilocios Sur, Neava Ecija, Quirino provinces, National capital region",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1989-10-14,1989-10-14 ,30,279,458400,0,458679,86611934.76
1989-125,1989,Dan (Saling),"Albay, Bataan, Batangas, Bulacan, Camarines norte, Camarnies Sur, Cavite, Esatern Samar, Laguna, Marinduque, Masbate, Northern Leyte, Northern Samar, Nueva Ecija, Pampanga, Quezon, Rizal, Samar, Sorgoson, southern Leyte, Zambales, national capital region",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1989-10-9,1989-10-9 ,58,105,660000,76500,736605,144842557.57
1989-120,1989,Gordon (Goring),"Ilocos Sur, Ilocos Norte, Cagayan, Isabela, Nueva Vizcaya, La Union",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1989-7-15,1989-7-15 ,97,382,486000,0,486382,149246554.25
1989-94,1989,,"Sorgoson, Camatines Sur, Samar",Natural,Hydrological,Flood,,,,,Philippines,PHL,1989-2-9,1989-2-9 ,44,11,260000,0,260011,14679988.94
1990-9707,1990,,"Regions VI, IX, X, XI and XII",Natural,Climatological,Drought,Drought,,,,Philippines,PHL,,,0,0,254282,0,254282,155019742.24
